,address,artists,city,county,full_address,id,images,latitude,longitude,notes,state,neighborhood
324,2934 Russell Street,OLAYAMI DABLS,Detroit,Wayne County,"Wilkins Street, Detroit, MI, USA",m0137,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0137.jpg,42.349417,-83.041865,,Michigan,Eastern Market
325,Michigan Third Street Park 3rd Avenue,unknown,Detroit,Wayne County,"Bagley Street, Detroit, MI, USA",m0420,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0420.jpg,42.331941,-83.058773,,Michigan,Downtown Detroit
326,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0574,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0574.jpg,42.398649,-83.164515,,Michigan,Detroit
327,9331 Felch Street,KATIE YAMASAKI,Detroit,Wayne County,"Felch Street, Detroit, MI, USA",m0136,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0136.jpg,42.390248,-83.005949,(in parking lot),Michigan,Detroit
328,8357 Woodward Avenue,JULIEN DE CASABIANCA,Detroit,Wayne County,"8357 Woodward Avenue, Detroit, MI, USA",m0617,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0617.jpg,42.37662,-83.077905,,Michigan,Virginia Park
329,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0634,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0634.jpg,42.398649,-83.164515,,Michigan,Detroit
330,2120 Orleans Street,VITO VALDEZ,Detroit,Wayne County,"Dequindre Cut Greenway, Detroit, MI, USA",m0224,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0224.jpg,42.344774,-83.034144,,Michigan,Lafayette Park
331,14864 Mendota Street,"WC BEVAN', 'BIRDCAP', 'NOSEY42",Detroit,Wayne County,"Detroit, MI, USA",m0611,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0611.jpg,42.398649,-83.164515,,Michigan,Detroit
332,6400 John R Street,PENDING,Detroit,Wayne County,"East Baltimore Avenue, Detroit, MI, USA",m0642,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0642.jpg,42.369277,-83.069775,,Michigan,Milwaukee Junction
333,1061 East Canfield Street,HUEMAN,Detroit,Wayne County,"Rivard Street, Detroit, MI, USA",m0153,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0153.jpg,42.357209,-83.049415,in alley,Michigan,Forest Park
334,14864 Mendota Street,unknown,Detroit,Wayne County,"Detroit, MI, USA",m0254,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0254.jpg,42.398649,-83.164515,,Michigan,Detroit
335,8310 House Street,unknown,Detroit,Wayne County,"8315 E Seven Mile, Detroit, MI, USA",m0487,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0487.jpg,42.43434,-83.018638,,Michigan,Osborn
336,1425 Gratiot Avenue,APEXER,Detroit,Wayne County,"Gratiot Avenue, Detroit, MI, USA",m0154,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0154.jpg,42.344682,-83.037965,,Michigan,Lafayette Park
